dataset,ticker,metric,country,value,value_txt,period_end,period_span,unit,created_by,inter_country_comparison,categories,updated_on,source,all_topics,dimensions
BankCreditAndDeposits,BankCredit,Value,IN,1203520000000.0,,2019-11-22,,INR,MacroSearchEngine,False,"{""InlandBillsDiscounted"": ""SubcategoryOfBankCredit""}",2019-12-06,https://rbi.org.in/Scripts/WSSView.aspx?Id=23406,[Value][IN][InlandBillsDiscounted][BankCredit][BankCreditAndDeposits],[InlandBillsDiscounted]
BankCreditAndDeposits,BankCredit,YoY,IN,-0.10627933226400521,,2019-11-22,,Percentage,MacroSearchEngine,False,"{""InlandBillsDiscounted"": ""SubcategoryOfBankCredit""}",2019-12-06,https://rbi.org.in/Scripts/WSSView.aspx?Id=23406,[BankCredit][YoY][InlandBillsDiscounted][IN][BankCreditAndDeposits],[InlandBillsDiscounted]
BankCreditAndDeposits,BankCredit,Value,IN,230710000000.0,,2019-11-22,,INR,MacroSearchEngine,False,"{""ForeignBillsPurchased"": ""SubcategoryOfBankCredit""}",2019-12-06,https://rbi.org.in/Scripts/WSSView.aspx?Id=23406,[Value][IN][ForeignBillsPurchased][BankCredit][BankCreditAndDeposits],[ForeignBillsPurchased]
BankCreditAndDeposits,BankCredit,YoY,IN,-0.049872333415698855,,2019-11-22,,Percentage,MacroSearchEngine,False,"{""ForeignBillsPurchased"": ""SubcategoryOfBankCredit""}",2019-12-06,https://rbi.org.in/Scripts/WSSView.aspx?Id=23406,[BankCredit][YoY][ForeignBillsPurchased][IN][BankCreditAndDeposits],[ForeignBillsPurchased]
BankCreditAndDeposits,BankCredit,Value,IN,310520000000.0,,2019-11-22,,INR,MacroSearchEngine,False,"{""ForeignBillsDiscounted"": ""SubcategoryOfBankCredit""}",2019-12-06,https://rbi.org.in/Scripts/WSSView.aspx?Id=23406,[Value][BankCredit][IN][BankCreditAndDeposits][ForeignBillsDiscounted],[ForeignBillsDiscounted]
BankCreditAndDeposits,BankCredit,YoY,IN,-0.0743732673562465,,2019-11-22,,Percentage,MacroSearchEngine,False,"{""ForeignBillsDiscounted"": ""SubcategoryOfBankCredit""}",2019-12-06,https://rbi.org.in/Scripts/WSSView.aspx?Id=23406,[BankCredit][YoY][IN][BankCreditAndDeposits][ForeignBillsDiscounted],[ForeignBillsDiscounted]
BankCreditAndDeposits,BankDeposits,Value,IN,129985890000000.0,,2019-11-08,,INR,MacroSearchEngine,True,{},2019-11-29,https://rbi.org.in/Scripts/WSSView.aspx?Id=23391,[IN][BankCreditAndDeposits][Value][BankDeposits],
BankCreditAndDeposits,BankDeposits,YoY,IN,0.09917503877972234,,2019-11-08,,Percentage,MacroSearchEngine,True,{},2019-11-29,https://rbi.org.in/Scripts/WSSView.aspx?Id=23391,[YoY][IN][BankCreditAndDeposits][BankDeposits],
BankCreditAndDeposits,BankDeposits,Value,IN,13260040000000.0,,2019-11-08,,INR,MacroSearchEngine,False,"{""DemandDeposits"": ""SubcategoryOfBankDeposits""}",2019-11-29,https://rbi.org.in/Scripts/WSSView.aspx?Id=23391,[Value][BankDeposits][DemandDeposits][IN][BankCreditAndDeposits],[DemandDeposits]
BankCreditAndDeposits,BankDeposits,YoY,IN,0.08977284961590959,,2019-11-08,,Percentage,MacroSearchEngine,False,"{""DemandDeposits"": ""SubcategoryOfBankDeposits""}",2019-11-29,https://rbi.org.in/Scripts/WSSView.aspx?Id=23391,[YoY][BankDeposits][DemandDeposits][IN][BankCreditAndDeposits],[DemandDeposits]
