period_end,updated_on,label,codetype,code,CPI,CPI_YoY,weight,lower_label,region
2025-07-31,2025-08-12,Other Tobacco Products,item_code,2.1.01.3.1.08.0,200.2,2.51,0.26361,other tobacco products,
2025-07-31,2025-08-12,Other Vegetables,item_code,1.1.07.3.1.12.X,213.6,-2.2,0.56483,other vegetables,
2025-07-31,2025-08-12,Other Washing Requisites,item_code,6.1.01.6.1.04.0,169.1,1.93,0.11649,other washing requisites,
2025-07-31,2025-08-12,Palak/other Leafy Vegetables,item_code,1.1.07.2.1.01.X,241.3,2.59,0.43849,palak/other leafy vegetables,
2025-07-31,2025-08-12,Pan: Finished (no.),item_code,2.1.01.2.1.02.0,229.5,4.08,0.15533,pan: finished (no.),
2025-07-31,2025-08-12,Pan: Leaf (no.),item_code,2.1.01.2.1.01.0,225.3,-1.01,0.06396,pan: leaf (no.),
2025-07-31,2025-08-12,"Papad, Bhujia, Namkeen, Mixture, Chanachur",item_code,1.1.12.3.1.04.0,207.9,4.26,0.45658,"papad, bhujia, namkeen, mixture, chanachur",
2025-07-31,2025-08-12,Papaya,item_code,1.1.06.1.1.10.0,212.8,0.33,0.04744,papaya,
2025-07-31,2025-08-12,"Parwal/patal, Kundru",item_code,1.1.07.3.1.07.X,155.9,-5.17,0.09627,"parwal/patal, kundru",
2025-07-31,2025-08-12,PC/ Laptop/ Other Peripherals Incl. Software,item_code,6.1.04.1.1.06.X,157.0,2.48,0.11073,pc/ laptop/ other peripherals incl. software,
2025-07-31,2025-08-12,Pears/nashpati,item_code,1.1.06.1.1.13.X,308.8,52.57,0.00054,pears/nashpati,
