dataset,ticker,metric,country,value,value_txt,period_end,period_span,unit,created_by,inter_country_comparison,as_reported,pfea,all_topics,dimensions,categories
CPI,CPI,YoY,IN,3.27,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][IN][Bidi (no.)][CPI],[Bidi (no.)],"{""Bidi (no.)"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,3.67,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,"[YoY][IN][Biscuits, Chocolates, etc.][CPI]","[Biscuits, Chocolates, etc.]","{""Biscuits, Chocolates, etc."": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,11.49,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][IN][Black Pepper (gm)][CPI],[Black Pepper (gm)],"{""Black Pepper (gm)"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,1.98,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,"[YoY][IN][Books, Journals: First Hand][CPI]","[Books, Journals: First Hand]","{""Books, Journals: First Hand"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,5.32,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][Bread (bakery)][IN][CPI],[Bread (bakery)],"{""Bread (bakery)"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,-1.82,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][Brinjal][IN][CPI],[Brinjal],"{""Brinjal"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,2.51,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,"[YoY][IN][Bucket, Water Bottle/ Feeding Bottle & Other Plastic Goods][CPI]","[Bucket, Water Bottle/ Feeding Bottle & Other Plastic Goods]","{""Bucket, Water Bottle/ Feeding Bottle & Other Plastic Goods"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,2.54,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][IN][Bus/tram Fare][CPI],[Bus/tram Fare],"{""Bus/tram Fare"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,4.01,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][IN][Butter][CPI],[Butter],"{""Butter"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,-16.17,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][IN][Cabbage][CPI],[Cabbage],"{""Cabbage"": ""ConsumptionItem""}"
