dataset,ticker,metric,country,value,value_txt,period_end,period_span,unit,created_by,inter_country_comparison,as_reported,pfea,all_topics,dimensions,categories,updated_on
CPI,CPI,YoY,IN,-9.52,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[Chicken][CPI][YoY][IN],[Chicken],"{""Chicken"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,17.7,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[IN][CPI][YoY][Chips (gm)],[Chips (gm)],"{""Chips (gm)"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,5.14,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Chira][YoY][IN],[Chira],"{""Chira"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,-3.61,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Cigarettes (no.)][YoY][IN],[Cigarettes (no.)],"{""Cigarettes (no.)"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,4.64,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[IN][CPI][YoY][Cinema: New Release(normal Day)],[Cinema: New Release(normal Day)],"{""Cinema: New Release(normal Day)"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,4.12,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,"[CPI][Clock, Watch][YoY][IN]","[Clock, Watch]","{""Clock, Watch"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,2.74,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,"[Cloth for Coat, Trousers, Suit, etc. (metre)][CPI][YoY][IN]","[Cloth for Coat, Trousers, Suit, etc. (metre)]","{""Cloth for Coat, Trousers, Suit, etc. (metre)"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,2.88,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,"[Cloth for Shirt, Pyjama, Kurta, Salwar, etc. (metre)][CPI][YoY][IN]","[Cloth for Shirt, Pyjama, Kurta, Salwar, etc. (metre)]","{""Cloth for Shirt, Pyjama, Kurta, Salwar, etc. (metre)"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,3.41,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,"[CPI][Cloth for Upholstery, Curtains, Tablecloth, etc. (metre)][YoY][IN]","[Cloth for Upholstery, Curtains, Tablecloth, etc. (metre)]","{""Cloth for Upholstery, Curtains, Tablecloth, etc. (metre)"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,1.57,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Clothing (first-hand): Other][YoY][IN],[Clothing (first-hand): Other],"{""Clothing (first-hand): Other"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,4.51,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[Clothing: Second-hand][CPI][YoY][IN],[Clothing: Second-hand],"{""Clothing: Second-hand"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,2.27,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Club Fees][YoY][IN],[Club Fees],"{""Club Fees"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,2.62,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[Coal][CPI][YoY][IN],[Coal],"{""Coal"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,1.96,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,"[CPI][Coat, Jacket, Sweater, Windcheater (no.)][YoY][IN]","[Coat, Jacket, Sweater, Windcheater (no.)]","{""Coat, Jacket, Sweater, Windcheater (no.)"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,60.75,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[IN][CPI][YoY][Coconut: Copra],[Coconut: Copra],"{""Coconut: Copra"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,59.26,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Coconut (no.)][YoY][IN],[Coconut (no.)],"{""Coconut (no.)"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,131.77,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Coconut Oil][YoY][IN],[Coconut Oil],"{""Coconut Oil"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,6.63,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[IN][CPI][YoY][Coffee: Cups (no.)],[Coffee: Cups (no.)],"{""Coffee: Cups (no.)"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,24.81,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Coffee: Powder (gm)][YoY][IN],[Coffee: Powder (gm)],"{""Coffee: Powder (gm)"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,5.28,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,"[CPI][Coir, Rope, etc.][YoY][IN]","[Coir, Rope, etc.]","{""Coir, Rope, etc."": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,2.96,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Coke][YoY][IN],[Coke],"{""Coke"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,0.93,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Cold Beverages: Bottled/canned (litre)][YoY][IN],[Cold Beverages: Bottled/canned (litre)],"{""Cold Beverages: Bottled/canned (litre)"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,5.16,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[IN][CPI][YoY][Cooked Meals Purchased (no.)],[Cooked Meals Purchased (no.)],"{""Cooked Meals Purchased (no.)"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,4.42,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,"[CPI][Cooked Snacks Purchased [samosa, Puri, Paratha, Burger, Chowmein, Idli, Dosa, Vada, Chops, Pakoras, Pao Bhaji, Etc.]][YoY][IN]","[Cooked Snacks Purchased [samosa, Puri, Paratha, Burger, Chowmein, Idli, Dosa, Vada, Chops, Pakoras, Pao Bhaji, Etc.]]","{""Cooked Snacks Purchased [samosa, Puri, Paratha, Burger, Chowmein, Idli, Dosa, Vada, Chops, Pakoras, Pao Bhaji, Etc.]"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,4.65,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Country Liquor (litre)][YoY][IN],[Country Liquor (litre)],"{""Country Liquor (litre)"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,2.23,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Curd][YoY][IN],[Curd],"{""Curd"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,2.68,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Curry Powder (gm)][YoY][IN],[Curry Powder (gm)],"{""Curry Powder (gm)"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,3.98,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Dates][YoY][IN],[Dates],"{""Dates"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,-0.43,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[IN][CPI][YoY][Dhania (gm)],[Dhania (gm)],"{""Dhania (gm)"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,1.43,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Dhoti (no.)][YoY][IN],[Dhoti (no.)],"{""Dhoti (no.)"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,0.16,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Diesel for Vehicle][YoY][IN],[Diesel for Vehicle],"{""Diesel for Vehicle"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,0.06,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Diesel (litre) [excl. Conveyance]][YoY][IN],[Diesel (litre) [excl. Conveyance]],"{""Diesel (litre) [excl. Conveyance]"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,3.94,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Doctor’s/ Surgeon’s Fee-first Consultation (non-institutional)][YoY][IN],[Doctor’s/ Surgeon’s Fee-first Consultation (non-institutional)],"{""Doctor’s/ Surgeon’s Fee-first Consultation (non-institutional)"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,4.45,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Domestic Servant/cook][YoY][IN],[Domestic Servant/cook],"{""Domestic Servant/cook"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,-11.95,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[IN][CPI][YoY][Dry Chillies (gm)],[Dry Chillies (gm)],"{""Dry Chillies (gm)"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,1.19,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Dung Cake][YoY][IN],[Dung Cake],"{""Dung Cake"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,4.96,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Earthenware][YoY][IN],[Earthenware],"{""Earthenware"": ""ConsumptionItem""}",2025-08-12
